"DRG Definition","Provider Id","Provider Name","Provider Street Address","Provider City","Provider State","Provider Zip Code","Hospital Referral Region Description","Total Discharges","Average Covered Charges","Average Total Payments","Average Medicare Payments"
"074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC",150058,"MEMORIAL HOSPITAL OF SOUTH BEND","615 N MICHIGAN ST","SOUTH BEND","IN",46601,"IN - South Bend",25,17477.64,5576.76,4644.24
"074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC",150082,"DEACONESS HOSPITAL INC","600 MARY ST","EVANSVILLE","IN",47747,"IN - Evansville",42,18138.69,4670.38,4001.9
"074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC",150084,"ST VINCENT HOSPITAL & HEALTH SERVICES","2001 W 86TH ST","INDIANAPOLIS","IN",46260,"IN - Indianapolis",29,26551,6449.03,4736.17
"074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC",150089,"INDIANA UNIVERSITY HEALTH BALL MEMORIAL HOSPITAL","2401 UNIVERSITY AVE","MUNCIE","IN",47303,"IN - Muncie",27,22007,5656.81,4901.44
"074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC",150090,"FRANCISCAN ST MARGARET HEALTH - DYER","24 JOLIET ST","DYER","IN",46311,"IN - Munster",11,26009.09,5480.9,3906.27
"074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC",150100,"ST MARY'S MEDICAL CENTER OF EVANSVILLE INC","3700 WASHINGTON AVE","EVANSVILLE","IN",47750,"IN - Evansville",23,14197.43,5101.3,3742.08
"074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC",150113,"COMMUNITY HOSPITAL OF ANDERSON AND MADISON COUNTY","1515 N MADISON AVE","ANDERSON","IN",46011,"IN - Indianapolis",16,17498.31,5050.62,4278.37
"074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC",150125,"COMMUNITY HOSPITAL","901 MACARTHUR BLVD","MUNSTER","IN",46321,"IN - Munster",78,18221.3,5291.01,3822.12
"101 - SEIZURES W/O MCC",150002,"METHODIST HOSPITALS INC","600 GRANT ST","GARY","IN",46402,"IN - Gary",82,12623.6,5204.03,4408.03
"101 - SEIZURES W/O MCC",150003,"FRANCISCAN ST ELIZABETH HEALTH - LAFAYETTE CENTRAL","1501 HARTFORD ST","LAFAYETTE","IN",47904,"IN - Lafayette",15,16676.93,4380.53,3485.6
"101 - SEIZURES W/O MCC",150004,"FRANCISCAN ST MARGARET HEALTH - HAMMOND","5454 HOHMAN AVE","HAMMOND","IN",46320,"IN - Munster",34,14562.73,5172.17,4346.41
"101 - SEIZURES W/O MCC",150008,"ST CATHERINE HOSPITAL INC","4321 FIR ST","EAST CHICAGO","IN",46312,"IN - Munster",19,16218.94,5169.15,4621.84
"101 - SEIZURES W/O MCC",150009,"CLARK MEMORIAL HOSPITAL","1220 MISSOURI AVE","JEFFERSONVILLE","IN",47130,"KY - Louisville",32,12014.59,4289.62,3692.25
"101 - SEIZURES W/O MCC",150012,"SAINT JOSEPH REGIONAL MEDICAL CENTER","5215 HOLY CROSS PKWY","MISHAWAKA","IN",46545,"IN - South Bend",21,12726.33,4978.52,4176.04
"101 - SEIZURES W/O MCC",150017,"LUTHERAN HOSPITAL OF INDIANA","7950 W JEFFERSON BLVD","FORT WAYNE","IN",46804,"IN - Fort Wayne",18,18488.27,4416.72,3364.27
"101 - SEIZURES W/O MCC",150018,"ELKHART GENERAL HOSPITAL","600 E BLVD","ELKHART","IN",46514,"IN - South Bend",16,15601.87,4384.43,3547.43
"101 - SEIZURES W/O MCC",150021,"PARKVIEW REGIONAL MEDICAL CENTER","11109 PARKVIEW PLAZA DRIVE","FORT WAYNE","IN",46805,"IN - Fort Wayne",22,15787.95,4472.72,3803.81
"101 - SEIZURES W/O MCC",150023,"UNION HOSPITAL INC","1606 N SEVENTH ST","TERRE HAUTE","IN",47804,"IN - Terre Haute",35,13409.02,4610.94,3742.25
"101 - SEIZURES W/O MCC",150024,"WILLIAM N WISHARD MEMORIAL HOSPITAL","1001 W 10TH ST","INDIANAPOLIS","IN",46202,"IN - Indianapolis",24,12114.08,6899.2,5844.29
"101 - SEIZURES W/O MCC",150033,"FRANCISCAN ST FRANCIS HEALTH - BEECH GROVE","1600 ALBANY ST","BEECH GROVE","IN",46107,"IN - Indianapolis",24,13820.12,4246,3545.16
"101 - SEIZURES W/O MCC",150034,"ST MARY MEDICAL CENTER INC","1500 S LAKE PARK AVE","HOBART","IN",46342,"IN - Gary",20,15021.95,4587.2,3484.95
"101 - SEIZURES W/O MCC",150035,"PORTER VALPARAISO HOSPITAL","814 LAPORTE AVE","VALPARAISO","IN",46383,"IN - Gary",21,21113.09,4692.38,3474.47
"101 - SEIZURES W/O MCC",150044,"FLOYD MEMORIAL HOSPITAL AND HEALTH SERVICES","1850 STATE ST","NEW ALBANY","IN",47150,"KY - Louisville",27,11162.22,4195.92,3038.62
"101 - SEIZURES W/O MCC",150046,"TERRE HAUTE REGIONAL HOSPITAL","3901 S SEVENTH ST","TERRE HAUTE","IN",47802,"IN - Terre Haute",16,16313.93,4763.56,3173.68
"101 - SEIZURES W/O MCC",150048,"REID HOSPITAL & HEALTH CARE SERVICES","1100 REID PKWY","RICHMOND","IN",47374,"IN - Indianapolis",30,12764.76,5010.4,4185.6
"101 - SEIZURES W/O MCC",150051,"INDIANA UNIVERSITY HEALTH BLOOMINGTON HOSPITAL","601 W SECOND ST","BLOOMINGTON","IN",47403,"IN - Indianapolis",24,16895.62,4885.66,3087.58
"101 - SEIZURES W/O MCC",150056,"INDIANA UNIVERSITY HEALTH","1701 N SENATE BLVD","INDIANAPOLIS","IN",46206,"IN - Indianapolis",123,17676.91,7075.72,5228.34
"101 - SEIZURES W/O MCC",150058,"MEMORIAL HOSPITAL OF SOUTH BEND","615 N MICHIGAN ST","SOUTH BEND","IN",46601,"IN - South Bend",20,16346.15,4961.35,4117.15
"101 - SEIZURES W/O MCC",150059,"RIVERVIEW HOSPITAL","395 WESTFIELD RD","NOBLESVILLE","IN",46060,"IN - Indianapolis",11,14178.09,4203.63,3392
"101 - SEIZURES W/O MCC",150074,"COMMUNITY HOSPITAL EAST","1500 N RITTER AVE","INDIANAPOLIS","IN",46219,"IN - Indianapolis",28,15091.71,4934.03,4008.75
"101 - SEIZURES W/O MCC",150082,"DEACONESS HOSPITAL INC","600 MARY ST","EVANSVILLE","IN",47747,"IN - Evansville",51,18164.39,4098.6,3316.29
"101 - SEIZURES W/O MCC",150084,"ST VINCENT HOSPITAL & HEALTH SERVICES","2001 W 86TH ST","INDIANAPOLIS","IN",46260,"IN - Indianapolis",93,16806.39,5302.77,4042.7
"101 - SEIZURES W/O MCC",150088,"SAINT JOHN'S HEALTH SYSTEM","2015 JACKSON ST","ANDERSON","IN",46016,"IN - Indianapolis",21,13328.04,4535.42,3205.42
"101 - SEIZURES W/O MCC",150089,"INDIANA UNIVERSITY HEALTH BALL MEMORIAL HOSPITAL","2401 UNIVERSITY AVE","MUNCIE","IN",47303,"IN - Muncie",38,16960.44,4848.21,3991.05
"101 - SEIZURES W/O MCC",150090,"FRANCISCAN ST MARGARET HEALTH - DYER","24 JOLIET ST","DYER","IN",46311,"IN - Munster",21,13545.76,4689.14,3487.61
"101 - SEIZURES W/O MCC",150100,"ST MARY'S MEDICAL CENTER OF EVANSVILLE INC","3700 WASHINGTON AVE","EVANSVILLE","IN",47750,"IN - Evansville",27,15220.7,4252.11,3163.59
"101 - SEIZURES W/O MCC",150109,"FRANCISCAN ST ELIZABETH HEALTH - LAFAYETTE EAST","1701 S CREASY LN","LAFAYETTE","IN",47905,"IN - Lafayette",11,19758.54,4605,3893.36
"101 - SEIZURES W/O MCC",150112,"COLUMBUS REGIONAL HOSPITAL","2400 E 17TH ST","COLUMBUS","IN",47201,"IN - Indianapolis",12,10954.5,4579.58,3641.58
"101 - SEIZURES W/O MCC",150113,"COMMUNITY HOSPITAL OF ANDERSON AND MADISON COUNTY","1515 N MADISON AVE","ANDERSON","IN",46011,"IN - Indianapolis",12,16043.75,4719.16,3783.83
"101 - SEIZURES W/O MCC",150125,"COMMUNITY HOSPITAL","901 MACARTHUR BLVD","MUNSTER","IN",46321,"IN - Munster",43,15672.83,4608.09,3628.3
"101 - SEIZURES W/O MCC",150126,"FRANCISCAN ST ANTHONY HEALTH - CROWN POINT","1201 S MAIN ST","CROWN POINT","IN",46307,"IN - Gary",35,15434.22,4394.6,3365.8
"101 - SEIZURES W/O MCC",150128,"COMMUNITY HOSPITAL SOUTH","1402 E COUNTY LINE RD S","INDIANAPOLIS","IN",46227,"IN - Indianapolis",13,12339.38,4131,3354.69
"101 - SEIZURES W/O MCC",150169,"COMMUNITY HOSPITAL NORTH","7150 CLEARVISTA DR","INDIANAPOLIS","IN",46256,"IN - Indianapolis",23,12085,4351,3470.65
"149 - DYSEQUILIBRIUM",150002,"METHODIST HOSPITALS INC","600 GRANT ST","GARY","IN",46402,"IN - Gary",42,13217.88,4444.07,3364.21
"149 - DYSEQUILIBRIUM",150003,"FRANCISCAN ST ELIZABETH HEALTH - LAFAYETTE CENTRAL","1501 HARTFORD ST","LAFAYETTE","IN",47904,"IN - Lafayette",12,20293,3809.66,2877
"149 - DYSEQUILIBRIUM",150004,"FRANCISCAN ST MARGARET HEALTH - HAMMOND","5454 HOHMAN AVE","HAMMOND","IN",46320,"IN - Munster",31,15884.19,4391.61,3391.54
"149 - DYSEQUILIBRIUM",150008,"ST CATHERINE HOSPITAL INC","4321 FIR ST","EAST CHICAGO","IN",46312,"IN - Munster",19,14650.36,4396.31,3454.84
"149 - DYSEQUILIBRIUM",150009,"CLARK MEMORIAL HOSPITAL","1220 MISSOURI AVE","JEFFERSONVILLE","IN",47130,"KY - Louisville",23,9390.78,3771.39,2469.69
"149 - DYSEQUILIBRIUM",150012,"SAINT JOSEPH REGIONAL MEDICAL CENTER","5215 HOLY CROSS PKWY","MISHAWAKA","IN",46545,"IN - South Bend",11,10826.45,5088.9,2753.09
"149 - DYSEQUILIBRIUM",150015,"FRANCISCAN ST ANTHONY HEALTH - MICHIGAN CITY","301 W HOMER ST","MICHIGAN CITY","IN",46360,"IN - Gary",18,12607.27,3763.83,2829.38
"149 - DYSEQUILIBRIUM",150017,"LUTHERAN HOSPITAL OF INDIANA","7950 W JEFFERSON BLVD","FORT WAYNE","IN",46804,"IN - Fort Wayne",14,16874.5,3917,2660.71
"149 - DYSEQUILIBRIUM",150018,"ELKHART GENERAL HOSPITAL","600 E BLVD","ELKHART","IN",46514,"IN - South Bend",18,12074.16,3684.44,2681.77
"149 - DYSEQUILIBRIUM",150021,"PARKVIEW REGIONAL MEDICAL CENTER","11109 PARKVIEW PLAZA DRIVE","FORT WAYNE","IN",46805,"IN - Fort Wayne",12,13793.33,4867.83,2489.66
"149 - DYSEQUILIBRIUM",150023,"UNION HOSPITAL INC","1606 N SEVENTH ST","TERRE HAUTE","IN",47804,"IN - Terre Haute",31,10509.45,3915.9,2885.7
"149 - DYSEQUILIBRIUM",150033,"FRANCISCAN ST FRANCIS HEALTH - BEECH GROVE","1600 ALBANY ST","BEECH GROVE","IN",46107,"IN - Indianapolis",24,13066.08,3838.66,2565.79
"149 - DYSEQUILIBRIUM",150034,"ST MARY MEDICAL CENTER INC","1500 S LAKE PARK AVE","HOBART","IN",46342,"IN - Gary",29,13016.34,3836.03,2786.51
"149 - DYSEQUILIBRIUM",150035,"PORTER VALPARAISO HOSPITAL","814 LAPORTE AVE","VALPARAISO","IN",46383,"IN - Gary",18,19008.16,3808,2932.88
"149 - DYSEQUILIBRIUM",150044,"FLOYD MEMORIAL HOSPITAL AND HEALTH SERVICES","1850 STATE ST","NEW ALBANY","IN",47150,"KY - Louisville",49,12684.87,3536.3,2342.95
"149 - DYSEQUILIBRIUM",150048,"REID HOSPITAL & HEALTH CARE SERVICES","1100 REID PKWY","RICHMOND","IN",47374,"IN - Indianapolis",15,10876,4668.4,3019.66
"149 - DYSEQUILIBRIUM",150056,"INDIANA UNIVERSITY HEALTH","1701 N SENATE BLVD","INDIANAPOLIS","IN",46206,"IN - Indianapolis",41,22691.9,6311.36,4679.14
"149 - DYSEQUILIBRIUM",150058,"MEMORIAL HOSPITAL OF SOUTH BEND","615 N MICHIGAN ST","SOUTH BEND","IN",46601,"IN - South Bend",17,9646.23,4207.7,3226.7
"149 - DYSEQUILIBRIUM",150074,"COMMUNITY HOSPITAL EAST","1500 N RITTER AVE","INDIANAPOLIS","IN",46219,"IN - Indianapolis",13,15636.61,4214.38,3266.38
"149 - DYSEQUILIBRIUM",150082,"DEACONESS HOSPITAL INC","600 MARY ST","EVANSVILLE","IN",47747,"IN - Evansville",32,16290.37,3550.37,2292.53
"149 - DYSEQUILIBRIUM",150084,"ST VINCENT HOSPITAL & HEALTH SERVICES","2001 W 86TH ST","INDIANAPOLIS","IN",46260,"IN - Indianapolis",12,18952.33,4286.58,3356.58
"149 - DYSEQUILIBRIUM",150089,"INDIANA UNIVERSITY HEALTH BALL MEMORIAL HOSPITAL","2401 UNIVERSITY AVE","MUNCIE","IN",47303,"IN - Muncie",27,14651.77,4230.29,3059.4
"149 - DYSEQUILIBRIUM",150090,"FRANCISCAN ST MARGARET HEALTH - DYER","24 JOLIET ST","DYER","IN",46311,"IN - Munster",19,15494.84,4123.47,2803.94
"149 - DYSEQUILIBRIUM",150100,"ST MARY'S MEDICAL CENTER OF EVANSVILLE INC","3700 WASHINGTON AVE","EVANSVILLE","IN",47750,"IN - Evansville",13,16008.92,3567.92,2610.07
"149 - DYSEQUILIBRIUM",150125,"COMMUNITY HOSPITAL","901 MACARTHUR BLVD","MUNSTER","IN",46321,"IN - Munster",77,14932.7,3850.7,2873.97
"149 - DYSEQUILIBRIUM",150126,"FRANCISCAN ST ANTHONY HEALTH - CROWN POINT","1201 S MAIN ST","CROWN POINT","IN",46307,"IN - Gary",37,14642.24,3999.16,2581.37
"149 - DYSEQUILIBRIUM",150158,"IU HEALTH WEST HOSPITAL","1111 N RONALD REAGAN PKWY","AVON","IN",46123,"IN - Indianapolis",11,18231.81,3561.36,2646.81
"149 - DYSEQUILIBRIUM",150162,"FRANCISCAN ST FRANCIS HEALTH - INDIANAPOLIS","8111 S EMERSON AVE","INDIANAPOLIS","IN",46237,"IN - Indianapolis",12,13817.33,3935.83,2995.16
"149 - DYSEQUILIBRIUM",150169,"COMMUNITY HOSPITAL NORTH","7150 CLEARVISTA DR","INDIANAPOLIS","IN",46256,"IN - Indianapolis",23,15969,3672.65,2598.21
"176 - PULMONARY EMBOLISM W/O MCC",150002,"METHODIST HOSPITALS INC","600 GRANT ST","GARY","IN",46402,"IN - Gary",28,19410.89,7325.21,6524.64
"176 - PULMONARY EMBOLISM W/O MCC",150003,"FRANCISCAN ST ELIZABETH HEALTH - LAFAYETTE CENTRAL","1501 HARTFORD ST","LAFAYETTE","IN",47904,"IN - Lafayette",20,16268.2,5926.35,4606.95
"176 - PULMONARY EMBOLISM W/O MCC",150005,"HENDRICKS REGIONAL HEALTH","1000 E MAIN ST","DANVILLE","IN",46122,"IN - Indianapolis",25,16647.08,5871.12,4739.52
"176 - PULMONARY EMBOLISM W/O MCC",150006,"INDIANA UNIVERSITY HEALTH LA PORTE HOSPITAL","1007 LINCOLNWAY","LA PORTE","IN",46350,"IN - South Bend",11,27635.63,7262.45,5106.81
"176 - PULMONARY EMBOLISM W/O MCC",150007,"HOWARD REGIONAL HEALTH SYSTEM","3500 S LAFOUNTAIN ST","KOKOMO","IN",46904,"IN - Indianapolis",13,14158.69,4947.92,4338.38
"176 - PULMONARY EMBOLISM W/O MCC",150009,"CLARK MEMORIAL HOSPITAL","1220 MISSOURI AVE","JEFFERSONVILLE","IN",47130,"KY - Louisville",21,19492.28,6511.52,5062.19
"176 - PULMONARY EMBOLISM W/O MCC",150011,"MARION GENERAL HOSPITAL","441 N WABASH AVE","MARION","IN",46952,"IN - Indianapolis",19,19412.26,6167.94,5326
"176 - PULMONARY EMBOLISM W/O MCC",150012,"SAINT JOSEPH REGIONAL MEDICAL CENTER","5215 HOLY CROSS PKWY","MISHAWAKA","IN",46545,"IN - South Bend",17,21056.52,8119.64,4821.82
"176 - PULMONARY EMBOLISM W/O MCC",150017,"LUTHERAN HOSPITAL OF INDIANA","7950 W JEFFERSON BLVD","FORT WAYNE","IN",46804,"IN - Fort Wayne",25,23659.04,6368.08,5210
"176 - PULMONARY EMBOLISM W/O MCC",150018,"ELKHART GENERAL HOSPITAL","600 E BLVD","ELKHART","IN",46514,"IN - South Bend",15,16468.66,6383.66,5164.93
"176 - PULMONARY EMBOLISM W/O MCC",150021,"PARKVIEW REGIONAL MEDICAL CENTER","11109 PARKVIEW PLAZA DRIVE","FORT WAYNE","IN",46805,"IN - Fort Wayne",39,20740.56,6511.92,5371.94
"176 - PULMONARY EMBOLISM W/O MCC",150023,"UNION HOSPITAL INC","1606 N SEVENTH ST","TERRE HAUTE","IN",47804,"IN - Terre Haute",39,27527.1,6892.79,5764.33
"176 - PULMONARY EMBOLISM W/O MCC",150024,"WILLIAM N WISHARD MEMORIAL HOSPITAL","1001 W 10TH ST","INDIANAPOLIS","IN",46202,"IN - Indianapolis",11,11643.54,9559.45,8636.18
"176 - PULMONARY EMBOLISM W/O MCC",150026,"IU HEALTH GOSHEN HOSPITAL","200 HIGH PARK AVE","GOSHEN","IN",46526,"IN - South Bend",17,26990.41,6159.64,5368.11
"176 - PULMONARY EMBOLISM W/O MCC",150033,"FRANCISCAN ST FRANCIS HEALTH - BEECH GROVE","1600 ALBANY ST","BEECH GROVE","IN",46107,"IN - Indianapolis",17,22910.7,6027.82,5302.88
"176 - PULMONARY EMBOLISM W/O MCC",150034,"ST MARY MEDICAL CENTER INC","1500 S LAKE PARK AVE","HOBART","IN",46342,"IN - Gary",13,25237.15,6421.69,5601.84
"176 - PULMONARY EMBOLISM W/O MCC",150035,"PORTER VALPARAISO HOSPITAL","814 LAPORTE AVE","VALPARAISO","IN",46383,"IN - Gary",28,29146.46,6265.67,5406.28
"176 - PULMONARY EMBOLISM W/O MCC",150037,"HANCOCK REGIONAL HOSPITAL","801 N STATE ST","GREENFIELD","IN",46140,"IN - Indianapolis",11,10106.81,5980.45,4960.09
"176 - PULMONARY EMBOLISM W/O MCC",150042,"GOOD SAMARITAN HOSPITAL","520 S 7TH ST","VINCENNES","IN",47591,"IN - Evansville",11,17018.72,5658.18,4640.72
"176 - PULMONARY EMBOLISM W/O MCC",150044,"FLOYD MEMORIAL HOSPITAL AND HEALTH SERVICES","1850 STATE ST","NEW ALBANY","IN",47150,"KY - Louisville",24,18779.91,5674.91,4982.54
"176 - PULMONARY EMBOLISM W/O MCC",150048,"REID HOSPITAL & HEALTH CARE SERVICES","1100 REID PKWY","RICHMOND","IN",47374,"IN - Indianapolis",26,14223.76,7498.3,5779.42
"176 - PULMONARY EMBOLISM W/O MCC",150051,"INDIANA UNIVERSITY HEALTH BLOOMINGTON HOSPITAL","601 W SECOND ST","BLOOMINGTON","IN",47403,"IN - Indianapolis",29,15385.51,6361.37,5119.51
"176 - PULMONARY EMBOLISM W/O MCC",150056,"INDIANA UNIVERSITY HEALTH","1701 N SENATE BLVD","INDIANAPOLIS","IN",46206,"IN - Indianapolis",39,31406.38,11014.2,8358.92
"176 - PULMONARY EMBOLISM W/O MCC",150058,"MEMORIAL HOSPITAL OF SOUTH BEND","615 N MICHIGAN ST","SOUTH BEND","IN",46601,"IN - South Bend",32,22931.46,6763.06,6023.18
"176 - PULMONARY EMBOLISM W/O MCC",150059,"RIVERVIEW HOSPITAL","395 WESTFIELD RD","NOBLESVILLE","IN",46060,"IN - Indianapolis",18,18741.05,6483.22,5090.16
"176 - PULMONARY EMBOLISM W/O MCC",150065,"SCHNECK MEDICAL CENTER","411 W TIPTON ST","SEYMOUR","IN",47274,"IN - Indianapolis",11,13479.36,6848.09,4819.81
"176 - PULMONARY EMBOLISM W/O MCC",150069,"KING'S DAUGHTERS' HOSPITAL AND HEALTH SERVICES,THE","ONE KINGS DAUGHTERS DR","MADISON","IN",47250,"KY - Louisville",11,16575.09,6706.09,4789.81
"176 - PULMONARY EMBOLISM W/O MCC",150074,"COMMUNITY HOSPITAL EAST","1500 N RITTER AVE","INDIANAPOLIS","IN",46219,"IN - Indianapolis",22,21705.72,6914.27,5888.09
"176 - PULMONARY EMBOLISM W/O MCC",150082,"DEACONESS HOSPITAL INC","600 MARY ST","EVANSVILLE","IN",47747,"IN - Evansville",33,21522.72,5920.72,4765.42
"176 - PULMONARY EMBOLISM W/O MCC",150084,"ST VINCENT HOSPITAL & HEALTH SERVICES","2001 W 86TH ST","INDIANAPOLIS","IN",46260,"IN - Indianapolis",40,25020.05,7371.7,6120.85
"176 - PULMONARY EMBOLISM W/O MCC",150088,"SAINT JOHN'S HEALTH SYSTEM","2015 JACKSON ST","ANDERSON","IN",46016,"IN - Indianapolis",12,25634.08,6056.66,5401.66
"176 - PULMONARY EMBOLISM W/O MCC",150089,"INDIANA UNIVERSITY HEALTH BALL MEMORIAL HOSPITAL","2401 UNIVERSITY AVE","MUNCIE","IN",47303,"IN - Muncie",28,31506.35,7080.07,6236.78
"176 - PULMONARY EMBOLISM W/O MCC",150097,"MAJOR HOSPITAL","150 W WASHINGTON ST","SHELBYVILLE","IN",46176,"IN - Indianapolis",14,17420.78,6423.57,5279.78
"176 - PULMONARY EMBOLISM W/O MCC",150100,"ST MARY'S MEDICAL CENTER OF EVANSVILLE INC","3700 WASHINGTON AVE","EVANSVILLE","IN",47750,"IN - Evansville",23,18951.08,6051.08,4812.08
"176 - PULMONARY EMBOLISM W/O MCC",150112,"COLUMBUS REGIONAL HOSPITAL","2400 E 17TH ST","COLUMBUS","IN",47201,"IN - Indianapolis",25,14520.12,6344.84,5351.24
"176 - PULMONARY EMBOLISM W/O MCC",150113,"COMMUNITY HOSPITAL OF ANDERSON AND MADISON COUNTY","1515 N MADISON AVE","ANDERSON","IN",46011,"IN - Indianapolis",15,15405.73,6279,5451
"176 - PULMONARY EMBOLISM W/O MCC",150125,"COMMUNITY HOSPITAL","901 MACARTHUR BLVD","MUNSTER","IN",46321,"IN - Munster",20,18805.05,6373.7,5474.5
"176 - PULMONARY EMBOLISM W/O MCC",150126,"FRANCISCAN ST ANTHONY HEALTH - CROWN POINT","1201 S MAIN ST","CROWN POINT","IN",46307,"IN - Gary",22,22507.86,6416.72,5233.95
"176 - PULMONARY EMBOLISM W/O MCC",150128,"COMMUNITY HOSPITAL SOUTH","1402 E COUNTY LINE RD S","INDIANAPOLIS","IN",46227,"IN - Indianapolis",11,21936.81,5786.27,4520.45
"176 - PULMONARY EMBOLISM W/O MCC",150158,"IU HEALTH WEST HOSPITAL","1111 N RONALD REAGAN PKWY","AVON","IN",46123,"IN - Indianapolis",12,24316.91,6016.25,5169.91
"176 - PULMONARY EMBOLISM W/O MCC",150162,"FRANCISCAN ST FRANCIS HEALTH - INDIANAPOLIS","8111 S EMERSON AVE","INDIANAPOLIS","IN",46237,"IN - Indianapolis",16,25423.18,6601.68,5756.68
"176 - PULMONARY EMBOLISM W/O MCC",150169,"COMMUNITY HOSPITAL NORTH","7150 CLEARVISTA DR","INDIANAPOLIS","IN",46256,"IN - Indianapolis",12,17735.25,6200,5353.66
"177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC",150002,"METHODIST HOSPITALS INC","600 GRANT ST","GARY","IN",46402,"IN - Gary",38,33979.34,13835.44,12529.63
"177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC",150003,"FRANCISCAN ST ELIZABETH HEALTH - LAFAYETTE CENTRAL","1501 HARTFORD ST","LAFAYETTE","IN",47904,"IN - Lafayette",23,37900.56,11720.34,11184.52
"177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC",150004,"FRANCISCAN ST MARGARET HEALTH - HAMMOND","5454 HOHMAN AVE","HAMMOND","IN",46320,"IN - Munster",31,61433.19,16631.54,16149.77
"177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC",150005,"HENDRICKS REGIONAL HEALTH","1000 E MAIN ST","DANVILLE","IN",46122,"IN - Indianapolis",22,24188.77,10441.95,9907.5
"177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC",150006,"INDIANA UNIVERSITY HEALTH LA PORTE HOSPITAL","1007 LINCOLNWAY","LA PORTE","IN",46350,"IN - South Bend",13,52683.23,10568.69,9966.53
"177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC",150007,"HOWARD REGIONAL HEALTH SYSTEM","3500 S LAFOUNTAIN ST","KOKOMO","IN",46904,"IN - Indianapolis",22,21499.81,9977.36,9621.54
"177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC",150008,"ST CATHERINE HOSPITAL INC","4321 FIR ST","EAST CHICAGO","IN",46312,"IN - Munster",13,33625,13984.38,12983
"177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC",150009,"CLARK MEMORIAL HOSPITAL","1220 MISSOURI AVE","JEFFERSONVILLE","IN",47130,"KY - Louisville",61,32981.75,11664.67,10805.7
"177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC",150010,"ST JOSEPH HOSPITAL & HEALTH CENTER INC","1907 W SYCAMORE ST","KOKOMO","IN",46904,"IN - Indianapolis",43,39728.25,11250.72,10242.41
"177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC",150011,"MARION GENERAL HOSPITAL","441 N WABASH AVE","MARION","IN",46952,"IN - Indianapolis",13,19815.76,12306.38,11146.76
"177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC",150012,"SAINT JOSEPH REGIONAL MEDICAL CENTER","5215 HOLY CROSS PKWY","MISHAWAKA","IN",46545,"IN - South Bend",39,31513.15,13538.1,10580.12
"177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC",150015,"FRANCISCAN ST ANTHONY HEALTH - MICHIGAN CITY","301 W HOMER ST","MICHIGAN CITY","IN",46360,"IN - Gary",34,32170.94,11462.44,10890.02
"177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC",150017,"LUTHERAN HOSPITAL OF INDIANA","7950 W JEFFERSON BLVD","FORT WAYNE","IN",46804,"IN - Fort Wayne",30,44613.4,14112.43,9687.83
"177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC",150018,"ELKHART GENERAL HOSPITAL","600 E BLVD","ELKHART","IN",46514,"IN - South Bend",22,35742.9,11438.72,10827.09
"177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC",150021,"PARKVIEW REGIONAL MEDICAL CENTER","11109 PARKVIEW PLAZA DRIVE","FORT WAYNE","IN",46805,"IN - Fort Wayne",41,40213.19,12288.48,11144.6
"177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC",150023,"UNION HOSPITAL INC","1606 N SEVENTH ST","TERRE HAUTE","IN",47804,"IN - Terre Haute",46,38469.54,12508.76,11541
"177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC",150033,"FRANCISCAN ST FRANCIS HEALTH - BEECH GROVE","1600 ALBANY ST","BEECH GROVE","IN",46107,"IN - Indianapolis",35,31668.48,11361.05,10631.88
"177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC",150034,"ST MARY MEDICAL CENTER INC","1500 S LAKE PARK AVE","HOBART","IN",46342,"IN - Gary",26,28732.11,12163.42,11512.8
"177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC",150035,"PORTER VALPARAISO HOSPITAL","814 LAPORTE AVE","VALPARAISO","IN",46383,"IN - Gary",23,39825.3,11438.95,10706.26
